"課程
Course","資訊
Infoormation","備註
note","通識
GE","選上機率
Probability","重設排序
Reset",系所 Department,課程 Course ID,教室大樓 Building,時間 Time,設課語言 Language,加簽 Extra Enrollment
"LSBS 566100
二維電泳與生物質譜分析特論一
Special Topics in 2D-gel Electrophoresis and Biological Mass Spectrometry I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
詹鴻霖	CHAN, HONG-LIN
<教室 Room & 時間 Time>
LS II生二 213	F3
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D選修/生資所111M選修
",-,-,,LSBS,LSBS 566100,LS II生二 ,F3,中文 ZH,O 接受 Allowed
"LSBS 567500
結構生物資訊學特論一
Special Topic on Structural Bioinformatics I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
呂平江	LYU, PING-CHIANG
<教室 Room & 時間 Time>
LS II生二 105	FnF5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課.教學方式以講解,討論,評論,學生演講為主.每週深入探討,解析學術論文與實驗數據
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D選修/生資所111M選修
",-,-,,LSBS,LSBS 567500,LS II生二 ,FnF5,中文 ZH,O 接受 Allowed
"LSBS 567700
單分子冷凍電子顯微鏡結構學特論一
Special Topic on Single Particle Cryo-electron Microscopy Analysis I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
林珮君	LIN. PEI-CHUN
<教室 Room & 時間 Time>
LS II生二207	RaRb
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D選修/生資所111M選修
",-,-,,LSBS,LSBS 567700,LS II生二,RaRb,中文 ZH,O 接受 Allowed
"LSBS 567900
生物資訊與結構生物特論
Special Topics in Bioinformatics and Structural Biology","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
林珮君	LIN. PEI-CHUN
<教室 Room & 時間 Time>
LS II生二217	Fa
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
在生資所舉辦的暑期研討會中,已完成口頭報告,並需與授課教師討論後方可選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D選修/生資所111M選修
",-,-,,LSBS,LSBS 567900,LS II生二,Fa,英文 EN,O 接受 Allowed
"LSBS 590101
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
13 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
13 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
劉姿吟	LIU, TZU-YIN
<教室 Room & 時間 Time>
LS II生二 113	W5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111M必修
",-,-,,LSBS,LSBS 590101,LS II生二 ,W5,中文 ZH,O 接受 Allowed
"LSBS 590102
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
13 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
12 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
林珮君	LIN. PEI-CHUN
<教室 Room & 時間 Time>
LS II生二 109	W5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111M必修
",-,-,,LSBS,LSBS 590102,LS II生二 ,W5,中文 ZH,O 接受 Allowed
"LSBS 590300
專題討論
Colloquium","<人限 Limit / 新生保留 New Only>
40 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
21 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
林珮君	LIN. PEI-CHUN
<教室 Room & 時間 Time>
LS II生二 107	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111M必修
",-,-,,LSBS,LSBS 590300,LS II生二 ,R3R4,英文 EN,O 接受 Allowed
"LSBS 600200
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
LS II生二 107	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限生資所碩二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除碩士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111M必修
",-,-,,LSBS,LSBS 600200,LS II生二 ,R3R4,中文 ZH,O 接受 Allowed
"LSBS 652100
物理生物化學
Physical Biochemistry","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
程家維	CHENG, JYA-WEI
林珮君	LIN. PEI-CHUN
孫玉珠	SUN, YUH-JU
<教室 Room & 時間 Time>
LS II生二 109	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D選修/生資所111M選修
",-,-,,LSBS,LSBS 652100,LS II生二 ,W2W3W4,中文 ZH,O 接受 Allowed
"LSBS 700200
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
LS II生二 109	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限生資所博二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除博士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D必修
",-,-,,LSBS,LSBS 700200,LS II生二 ,W2W3W4,中文 ZH,O 接受 Allowed
"LSBS 790101
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
7 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
楊立威	YANG, LEE-WEI
<教室 Room & 時間 Time>
LS II生二207	W5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D必修
",-,-,,LSBS,LSBS 790101,LS II生二,W5,英文 EN,O 接受 Allowed
"LSBS 790102
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
7 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
殷&#29486;生	YIN, HSIEN-SHENG
<教室 Room & 時間 Time>
LS II生二 107	F5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D必修
",-,-,,LSBS,LSBS 790102,LS II生二 ,F5,中文 ZH,O 接受 Allowed
"LSBS 790300
專題討論
Colloquium","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
8 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
張筱涵	CHANG, HSIAO-HAN
<教室 Room & 時間 Time>
LS II生二 213	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生資所111D必修
",-,-,,LSBS,LSBS 790300,LS II生二 ,R3R4,英文 EN,O 接受 Allowed
"LSBT 505200
跨領域科技英文學習
Interdisciplinary Academic English Learning for Graduate Students","<人限 Limit / 新生保留 New Only>
20 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
9 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
湯學成	TANG, SHIUE-CHENG
<教室 Room & 時間 Time>
LS II生二 113	F5F6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
化工系選修可列入畢業學分
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
化工系111D選修/化工系111M選修/生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 505200,LS II生二 ,F5F6,中文 ZH,O 接受 Allowed
"LSBT 525300
細胞核特論一
Special Topics of the Nucleus I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
桑自剛	SANG, TZU-KANG
<教室 Room & 時間 Time>
LS I生一323A	F5F6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課Requiring application in order to enroll in the course.&nbsp;
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 525300,LS I生一,F5F6,英文 EN,O 接受 Allowed
"LSBT 525500
胞器動態
Organelle Dynamics","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
張壯榮	CHANG, CHUANG-RUNG
<教室 Room & 時間 Time>
LS II生二206	M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課Requiring application in order to enroll in the course.&nbsp;
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 525500,LS II生二,M3M4,英文 EN,O 接受 Allowed
"LSBT 544900
模式生物科技特論
Special Topics in Model Organism Biotechnology","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
汪宏達	WANG, HORNG-DAR
<教室 Room & 時間 Time>
LS I生一405A	T1T2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課Requiring application in order to enroll in the course.&nbsp;
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 544900,LS I生一,T1T2,英文 EN,O 接受 Allowed
"LSBT 545500
離子通道調控機制特論
Special Topics on Regulatory Mechanisms for Ion Channels","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
邱于芯	CHIU, YU-HSIN
<教室 Room & 時間 Time>
LS I生一405A	M5M6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 545500,LS I生一,M5M6,中文 ZH,O 接受 Allowed
"LSBT 573100
肺臟上皮發育與疾病特論一
Special Topics in Lung Epithelium Development and Diseases I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
王翊青	WANG, I-CHING
<教室 Room & 時間 Time>
LS II生二207	M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課Requiring application in order to enroll in the course.&nbsp;
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 573100,LS II生二,M3M4,英文 EN,O 接受 Allowed
"LSBT 575300
生醫研究小鼠模式
Genetically Engineered Mouse Models in Biomedical Research","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
王翊青	WANG, I-CHING
<教室 Room & 時間 Time>
LS II生二 213	W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 575300,LS II生二 ,W3W4,英文 EN,O 接受 Allowed
"LSBT 576500
遠端轉移的分子機制特論一
Special Topics in Molecular Mechanisms Underlying Distant Metastasis I","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
林愷悌	LIN, KAI-TI
<教室 Room & 時間 Time>
LS II生二 626	M5M6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 576500,LS II生二 ,M5M6,中文 ZH,O 接受 Allowed
"LSBT 576700
生物製劑與疫苗法規科學
Regulatory Sciences for Biologics and Vaccines","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
吳夙欽	WU, SUH-CHIN
<教室 Room & 時間 Time>
LS II生二 107	TaTb
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 576700,LS II生二 ,TaTb,英文 EN,O 接受 Allowed
"LSBT 584500
共軛焦顯微鏡實驗
Confocal Microscopy Laboratory","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
湯學成	TANG, SHIUE-CHENG
<教室 Room & 時間 Time>
LS II生二 526	MnTn
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 584500,LS II生二 ,MnTn,中文 ZH,O 接受 Allowed
"LSBT 590101
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
13 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
11 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
邱于芯	CHIU, YU-HSIN
<教室 Room & 時間 Time>
LS I生一112	W5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111M必修
",-,-,,LSBT,LSBT 590101,LS I生一,W5,中文 ZH,O 接受 Allowed
"LSBT 590102
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
13 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
13 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
桑自剛	SANG, TZU-KANG
<教室 Room & 時間 Time>
LS II生二 213	W5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111M必修
",-,-,,LSBT,LSBT 590102,LS II生二 ,W5,英文 EN,O 接受 Allowed
"LSBT 590300
專題討論
Colloquium","<人限 Limit / 新生保留 New Only>
40 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
28 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
林亦凡	LIN, YI-FAN
<教室 Room & 時間 Time>
LS II生二 113	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,碩士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111M必修
",-,-,,LSBT,LSBT 590300,LS II生二 ,R3R4,英文 EN,O 接受 Allowed
"LSBT 594200
食品產業與生物技術
Food Biotechnology","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
廖啟成	LAIO, CHII-CHERNG
<教室 Room & 時間 Time>
LS II生二 105	R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)生物產業技術學分學程/(跨領域)生物科技管理學分學程
<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 594200,LS II生二 ,R6R7R8,中文 ZH,O 接受 Allowed
"LSBT 600200
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
LS II生二 105	R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限生技所碩二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除碩士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111M必修
",-,-,,LSBT,LSBT 600200,LS II生二 ,R6R7R8,中文 ZH,O 接受 Allowed
"LSBT 674100
生長因子訊息特論：於癌症治療之應用
Special Topics in Growth Factor Signaling: Its Application in Cancer Therapy","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
2
<授課語言 Language>
英文 EN
<教師 Instructor>
周裕珽	CHOU, YU-TING
<教室 Room & 時間 Time>
LS II生二 213	T9Ta
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與授課教師討論後加簽選課Requiring application in order to enroll in the course.
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 674100,LS II生二 ,T9Ta,英文 EN,O 接受 Allowed
"LSBT 674300
基因毒理專題二
Genotoxicity II","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
楊嘉鈴	YANG, JIA-LING
<教室 Room & 時間 Time>
LS II生二207	T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 674300,LS II生二,T3T4,中文 ZH,O 接受 Allowed
"LSBT 674500
藥物設計導論
Introduction to Drug Design","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
程家維	CHENG, JYA-WEI
<教室 Room & 時間 Time>
LS II生二 105	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D選修/生技所111M選修
",-,-,,LSBT,LSBT 674500,LS II生二 ,T6T7T8,中文 ZH,O 接受 Allowed
"LSBT 700200
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
LS II生二 105	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限生技所博二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除博士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D必修
",-,-,,LSBT,LSBT 700200,LS II生二 ,T6T7T8,中文 ZH,O 接受 Allowed
"LSBT 790101
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
10 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
張壯榮	CHANG, CHUANG-RUNG
<教室 Room & 時間 Time>
LS II生二 213	F5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D必修
",-,-,,LSBT,LSBT 790101,LS II生二 ,F5,英文 EN,O 接受 Allowed
"LSBT 790102
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
8 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
周裕珽	CHOU, YU-TING
<教室 Room & 時間 Time>
LS II生二217	F5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D必修
",-,-,,LSBT,LSBT 790102,LS II生二,F5,中文 ZH,O 接受 Allowed
"LSBT 790300
專題討論
Colloquium","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
4 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
邱于芯	CHIU, YU-HSIN
<教室 Room & 時間 Time>
LS II生二206	R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院,博士班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
生技所111D必修
",-,-,,LSBT,LSBT 790300,LS II生二,R3R4,英文 EN,O 接受 Allowed
"LSC 110100
生命科學一
Life Science I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
黃貞祥	NG, CHEN SIANG
莊永仁	CHUANG, YUNG-JEN
焦傳金	CHIAO, CHUAN-CHIN
<教室 Room & 時間 Time>
LS II生二講堂	R7R8R9
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為16週課程,含實中科學班,《磨課師輔助教學 blended learning with MOOCs》,面授+非同步遠距
<限制 Limitation>
生科院,大學部優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>
醫學科學(一)/生命科學(一)
<學程 Program>
(跨領域)生物科技管理學分學程
<必選修 Required or Elective>
醫科系111B必修/生科系111B必修/生科院學士班111B必修
",-,-,,LSC,LSC 110100,LS II生二講,R7R8R9,中文 ZH,O 接受 Allowed
"LSC 230100
生物化學一
Biochemistry I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
張晃猷	CHANG, HWAN-YOU
鄭惠春	CHENG, HUI-CHUN
孫玉珠	SUN, YUH-JU
<教室 Room & 時間 Time>
LS II生二講堂	T1T2F2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)/醫學科學(二)/醫學科學(一)/生命科學(二)/生命科學(一)
<學程 Program>
(跨領域)生物產業技術學分學程/(跨領域)微系統科技整合學分學程
<必選修 Required or Elective>
醫科系110B必修/生科系110B必修/生科院學士班110B必修
",-,-,,LSC,LSC 230100,LS II生二講,T1T2F2,中文 ZH,O 接受 Allowed
"LSC 404000
進階專題研究
Advanced Undergraduate Research","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
LS II生二講堂	T1T2F2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
指導教授限生科院專任教師
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
醫科系108B選修/醫科系109B選修/生科系108B選修/生科系109B選修/生科院學士班108B選修/生科院學士班109B選修
",-,-,,LSC,LSC 404000,LS II生二講,T1T2F2,中文 ZH,O 接受 Allowed
"LSIP 181100
普通生物學實驗
General Biology Lab Course","<人限 Limit / 新生保留 New Only>
30 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
23 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
張慧雲	CHANG, HUI-YUN
彭明德	PERNG, MING-DER
<教室 Room & 時間 Time>
LS II生二103	W5W6W7W8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限生科院學士班
<擋修 Prerequisite>

<專長 Speciality>
生命科學(二)
<學程 Program>

<必選修 Required or Elective>
生科院學士班111B必修
",-,-,,LSIP,LSIP 181100,LS II生二,W5W6W7W8,中文 ZH,O 接受 Allowed
